Date,Open,High,Low,Close,Adj Close,Volume,normolize,
2000/1/4,69.649002,69.649002,68.475197,69.649002,40.966042,2.01E+11,-0.306983767,85.140408
2000/1/5,69.649002,71.214104,68.866302,71.214104,41.886589,4.02E+11,-0.275969093,50.46327423
2000/1/6,70.822899,71.214104,69.649002,69.649002,40.966042,1.98E+11,-0.306983767,
2000/1/7,67.3013,68.475197,66.5186,67.692497,39.815262,2.35E+11,-0.345754636,
2000/1/10,69.649002,70.431396,68.475197,70.040199,41.196129,2.76E+11,-0.299231654,
2000/1/11,70.822899,71.605202,68.475197,68.866302,40.505672,2.78E+11,-0.322494056,
2000/1/12,69.2575,70.822899,68.866302,70.822899,41.656498,2.16E+11,-0.283721364,
2000/1/13,70.822899,70.822899,69.649002,69.649002,40.966042,1.47E+11,-0.306983767,
2000/1/14,70.431396,72.387901,70.040199,71.214104,41.886589,2.88E+11,-0.275969093,
2000/1/17,74.344398,74.344398,73.170601,73.170601,43.037369,1.55E+11,-0.237198382,
2000/1/18,73.170601,73.170601,71.605202,71.996696,42.346905,1.32E+11,-0.260460943,
2000/1/19,71.996696,73.170601,71.605202,71.996696,42.346905,1.35E+11,-0.260460943,
2000/1/20,71.996696,71.996696,70.822899,71.214104,41.886589,1.26E+11,-0.275969093,
2000/1/21,71.214104,72.779099,71.214104,72.779099,42.807098,1.13E+11,-0.244956539,
2000/1/24,73.561798,74.735603,73.170601,73.561798,43.26746,1.75E+11,-0.229446269,
2000/1/25,75.518303,75.518303,74.344398,75.518303,44.418236,2.24E+11,-0.1906754,
2000/1/26,77.865997,80.604797,77.865997,80.604797,47.409996,3.58E+11,-0.089879443,
2000/1/27,81.387497,82.561401,79.822502,81.387497,47.870369,2.88E+11,-0.074369154,
2000/1/28,78.6483,79.822502,78.6483,79.822502,46.949871,1.98E+11,-0.105381707,
2000/1/31,77.474403,79.822502,77.083298,79.431,46.719593,1.68E+11,-0.113139864,
2000/2/1,80.213699,80.213699,78.6483,79.039803,46.489502,1.53E+11,-0.120891977,
2000/2/2,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,
2000/2/3,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,
2000/2/4,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,
2000/2/7,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,
2000/2/8,79.039803,79.039803,79.039803,79.039803,46.489502,0,-0.120891977,
2000/2/9,83.735199,83.735199,80.996399,82.561401,48.560837,2.53E+11,-0.051106613,
2000/2/10,81.778702,84.126404,80.996399,83.735199,49.251236,1.78E+11,-0.027846172,
2000/2/11,84.909103,86.865601,84.126404,85.691803,50.402069,2.15E+11,0.010926659,
2000/2/14,85.300201,85.300201,83.735199,83.735199,49.251236,1.40E+11,-0.027846172,
2000/2/15,83.735199,84.909103,82.952499,84.126404,49.481331,1.05E+11,-0.0200939,
2000/2/16,84.126404,84.517502,83.344101,83.344101,49.021202,79352307611,-0.035596323,
2000/2/17,82.561401,83.344101,82.170197,82.561401,48.560837,1.16E+11,-0.051106613,
2000/2/18,82.952499,83.735199,80.996399,81.387497,47.870369,1.22E+11,-0.074369154,
2000/2/21,79.431,79.431,76.300598,76.300598,44.878368,1.54E+11,-0.175173136,
2000/2/22,75.126701,77.474403,74.344398,76.300598,44.878368,1.68E+11,-0.175173136,
2000/2/23,76.300598,76.300598,75.518303,75.909401,44.64827,73892579191,-0.182925249,
2000/2/24,76.300598,77.083298,75.909401,76.300598,44.878368,83371091714,-0.175173136,
2000/2/25,76.300598,78.257103,76.300598,77.865997,45.799099,1.66E+11,-0.144152577,
2000/2/28,77.865997,77.865997,77.865997,77.865997,45.799099,0,-0.144152577,
2000/2/29,78.257103,79.431,78.257103,78.6483,46.259228,98749279301,-0.128650154,
2000/3/1,80.213699,80.604797,79.822502,80.604797,47.409996,90504901989,-0.089879443,
2000/3/2,80.996399,81.387497,79.431,79.431,46.719593,68745682875,-0.113139864,
2000/3/3,79.039803,79.822502,79.039803,79.431,46.719593,58129346964,-0.113139864,
2000/3/6,79.822502,80.213699,77.865997,78.257103,46.029137,72312702670,-0.136402267,
2000/3/7,77.474403,78.6483,77.083298,77.865997,45.799099,83737455273,-0.144152577,
2000/3/8,77.474403,77.865997,76.692101,77.474403,45.568771,64819040283,-0.151912557,
2000/3/9,77.474403,78.257103,77.474403,78.257103,46.029137,71897777901,-0.136402267,
2000/3/10,78.6483,79.039803,75.909401,76.300598,44.878368,99978337610,-0.175173136,
2000/3/13,74.344398,74.344398,71.214104,71.214104,41.886589,2.32E+11,-0.275969093,
2000/3/14,71.214104,73.170601,70.431396,72.779099,42.807098,1.45E+11,-0.244956539,
2000/3/15,72.387901,73.561798,71.214104,71.605202,42.116638,1.54E+11,-0.268218942,
2000/3/16,70.040199,72.779099,67.3013,71.996696,42.346905,2.33E+11,-0.260460943,
2000/3/17,72.387901,74.344398,71.605202,74.344398,43.727768,2.68E+11,-0.213937961,
2000/3/20,71.996696,71.996696,71.996696,71.996696,42.346905,21190094104,-0.260460943,
2000/3/21,69.649002,76.692101,69.649002,76.300598,44.878368,4.48E+11,-0.175173136,
2000/3/22,75.126701,77.474403,73.952904,75.126701,44.187904,2.47E+11,-0.198435539,
2000/3/23,75.909401,79.431,75.518303,78.6483,46.259228,2.80E+11,-0.128650154,
2000/3/24,78.6483,78.6483,76.692101,77.474403,45.568771,1.90E+11,-0.151912557,
2000/3/27,78.257103,82.561401,78.257103,82.561401,48.560837,2.58E+11,-0.051106613,
2000/3/28,82.952499,83.735199,80.996399,81.778702,48.10046,1.82E+11,-0.066616882,
2000/3/29,81.387497,81.387497,79.822502,79.822502,46.949871,1.06E+11,-0.105381707,
2000/3/30,79.822502,82.952499,79.822502,81.387497,47.870369,2.28E+11,-0.074369154,
2000/3/31,80.996399,82.170197,80.213699,80.213699,47.179966,1.27E+11,-0.097629595,
2000/4/3,80.213699,80.213699,80.213699,80.213699,47.179966,0,-0.097629595,
2000/4/4,80.213699,80.213699,80.213699,80.213699,47.179966,0,-0.097629595,
2000/4/5,78.6483,82.170197,78.6483,81.387497,47.870369,1.83E+11,-0.074369154,
2000/4/6,81.387497,82.561401,79.039803,79.039803,46.489502,1.46E+11,-0.120891977,
2000/4/7,79.822502,80.213699,78.257103,78.257103,46.029137,1.11E+11,-0.136402267,
2000/4/10,78.6483,83.344101,78.257103,82.170197,48.33073,2.02E+11,-0.058858864,
2000/4/11,81.387497,81.387497,80.213699,80.213699,47.179966,1.18E+11,-0.097629595,
2000/4/12,79.039803,79.822502,78.257103,78.257103,46.029137,1.28E+11,-0.136402267,
2000/4/13,74.344398,75.909401,74.344398,75.126701,44.187904,2.49E+11,-0.198435539,
2000/4/14,72.387901,74.344398,72.387901,72.779099,42.807098,2.39E+11,-0.244956539,
2000/4/17,68.866302,70.431396,68.475197,70.040199,41.196129,2.08E+11,-0.299231654,
2000/4/18,73.952904,73.952904,72.387901,73.952904,43.497501,2.18E+11,-0.22169596,
2000/4/19,75.909401,75.909401,71.214104,71.605202,42.116638,1.46E+11,-0.268218942,
2000/4/20,71.605202,72.779099,70.431396,72.779099,42.807098,95074572650,-0.244956539,
2000/4/21,73.170601,73.952904,72.387901,72.779099,42.807098,70356980728,-0.244956539,
2000/4/24,72.779099,73.170601,70.431396,70.431396,41.426224,80690188680,-0.291479541,
2000/4/25,70.431396,73.561798,70.431396,73.170601,43.037369,1.30E+11,-0.237198382,
2000/4/26,74.735603,75.126701,71.605202,72.387901,42.576996,2.21E+11,-0.252708672,
2000/4/27,73.952904,74.344398,72.387901,73.561798,43.26746,1.06E+11,-0.229446269,
2000/4/28,74.735603,77.865997,73.952904,77.083298,45.338726,2.38E+11,-0.159662846,
2000/5/1,77.083298,77.083298,77.083298,77.083298,45.338726,0,-0.159662846,
2000/5/2,76.692101,76.692101,75.126701,75.518303,44.418236,84578093229,-0.1906754,
2000/5/3,74.735603,75.518303,73.561798,73.561798,43.26746,75426352960,-0.229446269,
2000/5/4,73.561798,75.126701,72.387901,73.170601,43.037369,1.12E+11,-0.237198382,
2000/5/5,72.387901,75.909401,71.996696,75.126701,44.187904,1.11E+11,-0.198435539,
2000/5/8,74.344398,75.909401,74.344398,75.518303,44.418236,82047321447,-0.1906754,
2000/5/9,75.518303,75.518303,75.518303,75.518303,44.418236,0,-0.1906754,
2000/5/10,75.909401,75.909401,73.561798,73.561798,43.26746,93664431050,-0.229446269,
2000/5/11,71.214104,71.996696,69.2575,70.040199,41.196129,1.65E+11,-0.299231654,
2000/5/12,71.214104,72.387901,70.040199,72.387901,42.576996,2.14E+11,-0.252708672,
2000/5/15,73.624298,73.624298,70.368698,70.619301,41.536743,1.34E+11,-0.287755942,
2000/5/16,72.372398,75.1269,71.120003,74.876297,44.040619,1.05E+11,-0.203397642,
2000/5/17,78.131897,79.634399,77.631203,79.634399,46.839233,1.65E+11,-0.10910923,
2000/5/18,79.133797,81.6381,78.131897,81.6381,48.017769,1.25E+11,-0.069403107,
2000/5/19,80.135597,81.137001,79.634399,81.137001,47.723034,83311742753,-0.079333081,
2000/5/22,80.135597,80.636299,79.133797,79.133797,46.544788,1.07E+11,-0.119029355,
2000/5/23,79.133797,79.133797,76.1287,76.629402,45.071758,78500876239,-0.168657427,
2000/5/24,73.624298,75.1269,73.624298,74.375603,43.74612,85726887686,-0.213319591,
2000/5/25,74.626198,75.1269,72.121803,72.8731,42.862385,96828786702,-0.243093778,
2000/5/26,72.121803,73.123596,71.621101,72.8731,42.862385,70008413992,-0.243093778,
2000/5/29,72.8731,74.125,72.622498,72.8731,42.862385,52122940962,-0.243093778,
2000/5/30,72.8731,72.8731,72.8731,72.8731,42.862385,0,-0.243093778,
2000/5/31,78.632599,79.133797,77.130096,78.632599,46.250004,1.59E+11,-0.128961291,
2000/6/1,78.131897,78.131897,76.1287,76.629402,45.071758,55122094640,-0.168657427,
2000/6/2,78.632599,79.634399,77.631203,77.631203,45.660995,1.01E+11,-0.148805346,
2000/6/5,78.632599,79.634399,77.631203,79.133797,46.544788,59798964199,-0.119029355,
2000/6/6,79.133797,79.133797,79.133797,79.133797,46.544788,0,-0.119029355,
2000/6/7,78.131897,80.636299,77.631203,80.636299,47.428532,81345143068,-0.089255188,
2000/6/8,80.636299,81.137001,78.632599,78.632599,46.250004,70697022189,-0.128961291,
2000/6/9,79.133797,79.634399,78.131897,79.133797,46.544788,45171652022,-0.119029355,
2000/6/12,80.135597,80.135597,78.632599,78.632599,46.250004,67123275632,-0.128961291,
2000/6/13,78.131897,78.131897,77.631203,77.631203,45.660995,48311777064,-0.148805346,
2000/6/14,79.133797,79.133797,77.130096,77.130096,45.366264,64295986528,-0.158735479,
2000/6/15,77.130096,77.130096,75.1269,75.1269,44.188026,69274680459,-0.198431595,
2000/6/16,75.1269,75.627502,74.626198,75.1269,44.188026,75573133164,-0.198431595,
2000/6/19,74.876297,75.1269,73.373703,74.125,43.598717,57780098119,-0.218285638,
2000/6/20,75.627502,75.627502,74.125,74.375603,43.74612,45751544451,-0.213319591,
2000/6/21,74.375603,74.626198,73.624298,73.624298,43.304222,37673559511,-0.228207745,
2000/6/22,73.123596,74.876297,73.123596,74.626198,43.89352,64192012023,-0.208353702,
2000/6/23,74.125,74.375603,73.123596,73.123596,43.009731,49329019857,-0.238129852,
2000/6/26,72.372398,72.622498,70.368698,70.869904,41.684147,95197233568,-0.282789895,
2000/6/27,71.120003,71.621101,70.869904,70.869904,41.684147,54066355115,-0.282789895,
2000/6/28,71.370499,72.372398,71.120003,72.121803,42.42049,64997222820,-0.257981774,
2000/6/29,73.123596,73.123596,71.120003,71.370499,41.978588,77624150681,-0.272869908,
2000/6/30,71.621101,73.123596,70.869904,73.123596,43.009731,78027849736,-0.238129852,
2000/7/3,71.621101,73.123596,70.368698,71.871201,42.273098,1.04E+11,-0.262947801,
2000/7/4,71.871201,72.121803,70.118599,70.619301,41.536743,73680102232,-0.287755942,
2000/7/5,71.370499,75.1269,70.118599,74.626198,43.89352,1.19E+11,-0.208353702,
2000/7/6,72.622498,73.874901,71.871201,72.622498,42.714985,1.01E+11,-0.248059806,
2000/7/7,72.622498,73.123596,71.120003,71.120003,41.831245,56914459119,-0.277833835,
2000/7/10,71.370499,72.372398,70.118599,71.871201,42.273098,65217520781,-0.262947801,
2000/7/11,71.621101,72.8731,71.120003,72.121803,42.42049,52507537473,-0.257981774,
2000/7/12,72.121803,72.372398,71.370499,71.871201,42.273098,40919613058,-0.262947801,
2000/7/13,72.121803,73.624298,72.121803,72.622498,42.714985,69994498506,-0.248059806,
2000/7/14,72.622498,73.624298,72.622498,73.123596,43.009731,62976540227,-0.238129852,
2000/7/17,73.123596,73.624298,71.621101,71.871201,42.273098,50712310737,-0.262947801,
2000/7/18,71.871201,71.871201,71.120003,71.120003,41.831245,32287021043,-0.277833835,
2000/7/19,71.871201,71.871201,71.120003,71.120003,41.831245,32287021043,-0.277833835,
2000/7/20,70.619301,70.619301,67.614197,67.614197,39.769211,1.15E+11,-0.347306259,
2000/7/21,67.614197,67.864799,64.108498,65.109802,38.296177,1.62E+11,-0.396934331,
2000/7/24,64.358597,64.6092,63.106602,63.357201,37.265335,1.11E+11,-0.431664559,
2000/7/25,62.104801,64.108498,62.104801,62.856098,36.970604,93606476971,-0.441594612,
2000/7/26,63.6073,65.360397,63.6073,65.109802,38.296177,1.24E+11,-0.396934331,
2000/7/27,64.358597,64.6092,62.605999,64.6092,38.001736,75383132630,-0.406854456,
2000/7/28,62.605999,64.859703,62.605999,63.857899,37.559837,1.12E+11,-0.421742531,
2000/7/31,63.857899,64.108498,63.106602,63.6073,37.412441,44307025436,-0.426708499,
2000/8/1,64.358597,64.859703,63.106602,63.106602,37.117935,54874182357,-0.436630527,
2000/8/2,63.357201,63.857899,62.605999,62.605999,36.823494,39456924753,-0.446550672,
2000/8/3,62.605999,62.605999,60.602299,61.103401,35.939697,50216486170,-0.476326742,
